model,config,seed,cv_accuracy,test_accuracy,balanced_accuracy,macro_f1,roc_auc_ovr,ece,recall_normal,recall_suspect,recall_pathological
SVM,C — +L1+L4,7,0.9335345278266243,0.9506545820745217,0.948549755136933,0.9502170147742298,0.9854342758054369,0.013445287672779334,0.883495145631068,0.9739884393063584,0.9881656804733728
SVM,D — Full naive,7,0.9399798590130917,0.9506545820745217,0.948549755136933,0.9502170147742298,0.9854342758054369,0.013445287672779334,0.883495145631068,0.9739884393063584,0.9881656804733728
SVM,A — Correct,8,0.8694117647058824,0.8990610328638498,0.8979764092690375,0.8454003139717425,0.9689189811653928,0.046123213137796194,0.9036144578313253,0.847457627118644,0.9428571428571428
SVM,B — +L4,8,0.8711764705882352,0.903755868544601,0.9046301428474187,0.8534503640886619,0.9694034973897966,0.043724214125020346,0.9066265060240963,0.864406779661017,0.9428571428571428
SVM,C — +L1+L4,8,0.933283272341302,0.932527693856999,0.931897642564573,0.9323005773529021,0.9840139031288558,0.015198494915788653,0.8711656441717791,0.950920245398773,0.9736070381231672
SVM,D — Full naive,8,0.9391742195367574,0.932527693856999,0.931897642564573,0.9323005773529021,0.9840139031288558,0.015198494915788653,0.8711656441717791,0.950920245398773,0.9736070381231672
SVM,A — Correct,9,0.8852941176470589,0.8943661971830986,0.9060313894804399,0.8532616564222648,0.9690635471178655,0.047070035346631754,0.8885542168674698,0.9152542372881356,0.9142857142857143
SVM,B — +L4,9,0.8858823529411766,0.8967136150234741,0.9116811069945642,0.8565885186094556,0.9697889668794227,0.04608333077732752,0.8885542168674698,0.9322033898305084,0.9142857142857143
SVM,C — +L1+L4,9,0.9405807708759089,0.9365558912386707,0.9351090184633982,0.9362460503741515,0.9842186443169666,0.011402930247572565,0.8853503184713376,0.9487951807228916,0.9711815561959655
SVM,D — Full naive,9,0.9413897280966766,0.9365558912386707,0.9351090184633982,0.9362460503741515,0.9842186443169666,0.011402930247572565,0.8853503184713376,0.9487951807228916,0.9711815561959655
